name,type,mass,radius,flux,teq,period,distance,esi
001. TRAPPIST-1 d,M-Warm Subterran,0.4,0.8,1.13,263,4,39,0.9
002. GJ 3323 b,M-Warm Terran,2,0.9 - 1.3 - 1.6,1.21,264,5.4,17,0.89
003. Kepler-438 b,M-Warm Terran,4.0 - 1.3 - 0.6,1.1,1.38,276,35.2,473,0.88
004. Ross 128 b,M-Warm Terran,1.4,0.8 - 1.2 - 1.5,1.47,280,9.9,11,0.86
005. GJ 273 b,M-Warm Terran,2.9,1.0 - 1.4 - 1.8,1.22,267,18.6,12,0.86
006. Kepler-296 e,M-Warm Terran,12.5 - 3.3 - 1.4,1.5,1.22,267,34.1,737,0.85
007. Kepler-62 e,K-Warm Superterran,18.7 - 4.5 - 1.9,1.6,1.1,261,122.4,1200,0.83
008. Kepler-452 b,G-Warm Superterran,19.8 - 4.7 - 1.9,1.6,1.11,261,384.8,1402,0.83
009. K2-72 e,M-Warm Terran,9.8 - 2.7 - 1.2,1.4,1.46,280,24.2,181,0.82
010. Wolf 1061 c,M-Warm Terran,3.4,1.1 - 1.5 - 1.9,1.4,276,17.9,14,0.82
011. GJ 832 c,M-Warm Superterran,5.4,1.2 - 1.7 - 2.2,0.99,254,35.7,16,0.81
012. K2-3 d,M-Warm Terran,11.1,1.5,1.46,280,44.6,137,0.8
013. Kepler-1544 b,K-Warm Superterran,31.7 - 6.6 - 2.6,1.8,0.9,248,168.8,1138,0.8
014. Kepler-283 c,K-Warm Superterran,35.3 - 7.0 - 2.8,1.8,0.9,248,92.7,1741,0.79
015. tau Cet e*,G-Warm Terran,4.3,1.1 - 1.6 - 2.0,1.51,282,168.1,12,0.78
016. Kepler-1410 b,K-Warm Superterran,31.7 - 6.6 - 2.6,1.8,1.34,274,60.9,1196,0.78
017. GJ 180 c*,M-Warm Superterran,6.4,1.3 - 1.8 - 2.3,0.79,239,24.3,38,0.77
018. HD 283869 b*,K-Warm Superterran,59.2 - 9.5 - 3.7,2,1.15,264,106,155,0.77
019. Kepler-1638 b,G-Warm Superterran,42.7 - 7.9 - 3.1,1.9,1.39,276,259.3,2866,0.76
020. Kepler-440 b,K-Warm Superterran,41.2 - 7.7 - 3.1,1.9,1.43,273,101.1,851,0.75
021. GJ 180 b*,M-Warm Superterran,8.3,1.3 - 1.9 - 2.4,1.23,268,17.4,38,0.75
022. Kepler-705 b,M-Warm Superterran,? - 12.7 - 4.8,2.1,0.83,243,56.1,818,0.74
023. HD 40307 g*,K-Warm Superterran,7.1,1.3 - 1.8 - 2.3,0.68,227,197.8,42,0.74
024. GJ 163 c,M-Warm Superterran,7.3,1.3 - 1.8 - 2.4,0.66,230,25.6,49,0.73
025. Kepler-61 b,K-Warm Superterran,? - 13.8 - 5.2,2.2,1.27,267,59.9,1063,0.73
026. K2-18 b,M-Warm Superterran,? - 16.5 - 6.0,2.2,0.92,250,32.9,111,0.73
027. Kepler-1606 b,G-Warm Superterran,? - 11.9 - 4.5,2.1,1.41,277,196.4,2869,0.73
028. Kepler-1090 b,G-Warm Superterran,? - 16.8 - 6.1,2.3,1.2,267,198.7,2289,0.72
029. Kepler-443 b,K-Warm Superterran,? - 19.5 - 7.0,2.3,0.89,247,177.7,2540,0.71
030. Kepler-22 b,G-Warm Superterran,? - 20.4 - 7.2,2.4,1.11,261,289.9,619,0.71
031. GJ 422 b*,M-Warm Superterran,9.9,1.4 - 2.0 - 2.6,0.68,231,26.2,41,0.71
032. K2-9 b,M-Warm Superterran,? - 16.8 - 6.1,2.2,1.38,276,18.4,359,0.71
033. Kepler-1552 b,K-Warm Superterran,? - 25.2 - 8.7,2.5,1.11,261,184.8,2015,0.7
034. Kepler-1540 b,K-Warm Superterran,? - 26.2 - 9.0,2.5,0.92,250,125.4,854,0.7
035. GJ 3293 d,M-Warm Superterran,7.6,1.3 - 1.9 - 2.4,0.57,220,48.1,58,0.7
036. Kepler-298 d,K-Warm Superterran,? - 26.8 - 9.1,2.5,1.29,271,77.5,1545,0.68
037. KIC-5522786 b,A-Warm Terran,5.8 - 1.8 - 0.8,1.2,2.7,305,757.2,-,0.67
038. Kepler-174 d,K-Warm Superterran,? - 14.8 - 5.5,2.2,0.43,206,247.4,1174,0.61
039. Kepler-296 f,M-Warm Superterran,28.7 - 6.1 - 2.5,1.8,0.34,194,63.3,737,0.6
040. GJ 682 c*,M-Warm Superterran,8.7,1.4 - 1.9 - 2.5,0.37,198,57.3,17,0.59
041. KOI-4427 b*,M-Warm Superterran,38.5 - 7.4 - 3.0,1.8,0.24,179,147.7,782,0.52
